name,version,kind,type,main,module,hasExports,path
redux,5.0.1,DUAL,,dist/cjs/redux.cjs,dist/redux.legacy-esm.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\redux
reselect,5.1.1,DUAL,,./dist/cjs/reselect.cjs,./dist/reselect.legacy-esm.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\reselect
rollup,4.50.1,DUAL,,dist/rollup.js,dist/es/rollup.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\rollup
tiny-invariant,1.3.3,DUAL,,dist/tiny-invariant.cjs.js,dist/tiny-invariant.esm.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\tiny-invariant
tslib,2.8.1,DUAL,,tslib.js,tslib.es6.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\tslib
use-memo-one,1.1.3,DUAL,,dist/use-memo-one.cjs.js,dist/use-memo-one.esm.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\use-memo-one
@babel/compat-data,7.28.4,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\compat-data
@babel/helper-globals,7.28.0,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\helper-globals
@babel/runtime,7.28.4,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\runtime
@types/react,18.3.3,UNKNOWN,,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\react
@types/react-dom,18.3.0,UNKNOWN,,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\react-dom
@typescript-eslint/eslint-plugin,7.13.1,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@typescript-eslint\eslint-plugin
@typescript-eslint/parser,7.13.1,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@typescript-eslint\parser
@typescript-eslint/scope-manager,7.13.1,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@typescript-eslint\scope-manager
@typescript-eslint/type-utils,7.13.1,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@typescript-eslint\type-utils
@typescript-eslint/types,7.13.1,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@typescript-eslint\types
@typescript-eslint/typescript-estree,7.13.1,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@typescript-eslint\typescript-estree
@typescript-eslint/utils,7.13.1,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@typescript-eslint\utils
@typescript-eslint/visitor-keys,7.13.1,UNKNOWN,commonjs,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@typescript-eslint\visitor-keys
dunder-proto,1.0.1,UNKNOWN,,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\dunder-proto
import-fresh,3.3.1,UNKNOWN,,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\import-fresh
math-intrinsics,1.1.0,UNKNOWN,,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\math-intrinsics
update-browserslist-db,1.1.3,UNKNOWN,,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\update-browserslist-db
use-sync-external-store,1.5.0,UNKNOWN,,,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\use-sync-external-store
@eslint-community/regexpp,4.12.1,ESM,,index,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@eslint-community\regexpp
@eslint/eslintrc,2.1.4,ESM,module,./dist/eslintrc.cjs,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@eslint\eslintrc
@humanwhocodes/module-importer,1.0.1,ESM,module,src/module-importer.cjs,src/module-importer.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@humanwhocodes\module-importer
@tsparticles/react,3.0.0,ESM,module,dist/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\react
@ungap/structured-clone,1.3.0,ESM,module,./cjs/index.js,./esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@ungap\structured-clone
axios,1.11.0,ESM,module,index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\axios
date-fns,4.1.0,ESM,module,index.cjs,index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\date-fns
eslint-scope,7.2.2,ESM,module,./dist/eslint-scope.cjs,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\eslint-scope
eslint-visitor-keys,3.4.3,ESM,module,dist/eslint-visitor-keys.cjs,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\eslint-visitor-keys
espree,9.6.1,ESM,module,dist/espree.cjs,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\espree
flatted,3.3.3,ESM,module,./cjs/index.js,./esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\flatted
i18next-http-backend,2.5.2,ESM,module,./cjs/index.js,./esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\i18next-http-backend
minimatch,9.0.5,ESM,module,./dist/commonjs/index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\minimatch
nanoid,3.3.11,ESM,module,index.cjs,index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\nanoid
node-releases,2.0.20,ESM,module,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\node-releases
stylis,4.2.0,ESM,module,dist/umd/stylis.js,dist/stylis.mjs,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\stylis
ts-api-utils,1.4.3,ESM,module,./lib/index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\ts-api-utils
vite,5.3.1,ESM,module,./dist/node/index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\vite
